공고일자,공고명,연도,수요기관,업무구분,품목대분류,유찰,응찰수,무응찰,입찰진행상태값,공고상태값,제조물품제한여부,긴급공고여부
20240925,(246357-D) 155밀리 탄두 팔레트 6종 제조,2024,국방부 국군재정관리단,물품(내자),운반·포장,False,3.0,False,개찰완료,등록공고,,Y
20240930,[국방홍보원 신축사업] 관급자재 냉난방기실외기 구매,2024,국방부 국방홍보원,물품(내자),배관·공조,False,684.0,False,낙찰자선정,등록공고,N,N
20241008,(247284-E) 간부식당 식자재 구매,2024,국방부 국군재정관리단,물품(내자),식품,True,0.0,True,유찰,등록공고,,Y
20241010,24년 선행학습지원 기반체계 교체사업,2024,육군학생군사학교,물품(내자),사무기기,True,0.0,True,유찰,등록공고,,Y
20241023,(247284-E) 간부식당 식자재 구매,2024,국방부 국군재정관리단,물품(내자),식품,True,0.0,True,유찰,재공고,,Y
20241025,(247065-H)지휘통제시설 고도화,2024,국방부 국군재정관리단,물품(내자),채광·건설기계,False,2.0,False,낙찰자선정,등록공고,,Y
20241025,24년 선행학습지원 기반체계 교체사업,2024,육군학생군사학교,물품(내자),사무기기,False,4.0,False,낙찰자선정,변경공고,,Y
20241028,24-N-00대학 스마트강의실/세미나실 구축 사업,2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,등록공고,,N
20241031,(246302-C) 피아식별 IR 제조,2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,낙찰자선정,등록공고,,Y
20241105,24~25-M-자동소음측정망 구축,2024,국방부 국군재정관리단,물품(내자),정보통신,False,3.0,False,낙찰자선정,등록공고,,Y
20241105,24~25-F-항공교통관제 모의훈련 장비 제조,2024,국방부 국군재정관리단,물품(내자),정보통신,False,3.0,False,개찰완료,등록공고,,Y
20241113,24~25-F-다기능 GPS 항재밍 기능점검 장비 교체,2024,국방부 국군재정관리단,물품(내자),정보통신,True,0.0,True,유찰,등록공고,,Y
20241114,24-F-자동소음측정망 확대 설치,2024,국방부 국군재정관리단,물품(내자),실험·측정기기,False,2.0,False,개찰완료,변경공고,,Y
20241115,LAN 장비교체사업(리스물건),2024,국군제1068부대,물품(내자),정보통신,False,5.0,False,낙찰자선정,등록공고,,Y
20241119,24-N-00부대 상용위성통신 지상서버 구축,2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,등록공고,,Y
20241125,(246212-C) 복합레일 K-1A용 제조,2024,국방부 국군재정관리단,물품(내자),국방·치안·보안,False,3.0,False,낙찰자선정,등록공고,,Y
20241128,24-F-기지경계용 무인항공기 제조,2024,국방부 국군재정관리단,물품(내자),차량·수송장비,False,4.0,False,낙찰자선정,등록공고,,Y
20241129,(246360-C) 과학화 예비군훈련 관리체계 사업,2024,국방부 국군재정관리단,물품(내자),엔지니어링·연구,False,7.0,False,개찰완료,등록공고,,Y
